id_conto,id_cliente,id_tipo_conto
0,197,3
1,124,3
2,100,2
3,129,2
4,157,1
5,133,2
6,168,3
7,150,3
8,30,0
9,19,3
10,4,3
11,148,0
12,106,1
13,74,2
14,123,0
15,195,0
16,60,1
17,93,2
18,169,2
19,40,2
20,188,0
21,179,3
22,40,3
23,59,0
24,29,3
25,94,1
26,165,3
27,126,0
28,16,3
29,99,1
30,167,3
31,157,3
32,65,1
33,23,2
34,128,1
35,87,3
36,37,2
37,111,2
38,191,0
39,154,0
40,89,1
41,134,1
42,101,1
43,41,3
44,145,1
45,112,0
46,43,1
47,110,2
48,197,0
49,118,2
50,147,3
51,22,1
52,109,0
53,139,2
54,11,0
55,161,2
56,135,0
57,119,2
58,26,3
59,48,2
60,199,2
61,182,0
62,96,2
63,100,2
64,82,1
65,87,2
66,149,1
67,2,0
68,8,2
69,10,3
70,5,0
71,38,3
72,166,1
73,100,1
74,193,3
75,117,3
76,59,3
77,164,0
78,133,3
79,5,2
80,38,0
81,163,1
82,88,3
83,177,1
84,84,2
85,114,3
86,9,1
87,132,2
88,177,3
89,24,2
90,94,3
91,130,2
92,83,1
93,131,0
94,77,3
95,11,3
96,141,0
97,81,1
98,154,3
99,198,0
100,175,0
101,98,1
102,21,0
103,148,3
104,170,1
105,122,2
106,185,2
107,145,3
108,101,0
109,183,1
110,100,2
111,196,1
112,111,3
113,11,3
114,97,1
115,147,1
116,112,3
117,11,3
118,25,0
119,97,2
120,95,0
121,45,1
122,6,2
123,89,0
124,88,2
125,38,0
126,51,1
127,16,3
128,151,2
129,3,1
130,90,1
131,174,3
132,122,3
133,157,3
134,2,2
135,133,3
136,121,2
137,199,3
138,15,0
139,78,0
140,163,1
141,180,0
142,103,3
143,118,2
144,7,2
145,179,3
146,102,2
147,179,1
148,157,0
149,183,3
150,113,0
151,139,0
152,195,3
153,122,3
154,55,0
155,88,3
156,68,0
157,117,0
158,115,0
159,185,3
160,93,3
161,102,1
162,139,0
163,82,0
164,3,0
165,165,1
166,135,0
167,29,1
168,78,1
169,11,3
170,11,1
171,16,3
172,60,2
173,123,0
174,103,2
175,191,0
176,187,1
177,129,3
178,146,1
179,181,0
180,28,0
181,192,1
182,85,0
183,73,0
184,136,2
185,139,1
186,117,2
187,179,1
188,81,2
189,183,3
190,15,0
191,131,0
192,106,1
193,28,1
194,58,1
195,78,2
196,111,1
197,65,0
198,76,1
199,11,0
200,25,2
201,103,0
202,11,3
203,90,0
204,162,3
205,129,2
206,144,0
207,1,2
208,16,2
209,33,3
210,33,2
211,172,0
212,40,3
213,72,2
214,106,1
215,83,3
216,160,0
217,151,0
218,68,1
219,159,3
220,150,1
221,64,3
222,31,3
223,79,1
224,83,1
225,15,3
226,51,2
227,140,3
228,173,0
229,10,0
230,105,1
231,80,3
232,70,2
233,21,2
234,195,1
235,80,1
236,64,1
237,129,1
238,50,2
239,96,0
